,repository_name,language
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,argo-rollouts,
12,async-datastore-client,Java
13,async-google-pubsub-client,Java
14,backup-utils,Shell
15,basic-pitch,Python
16,basic-pitch-ts,TypeScript
17,batty,Python
18,bazel,
19,bazel-tools,Java
20,beam,Java
21,big-data-rosetta-code,Scala
22,bigtable-autoscaler,Java
23,boilerplate-app,
24,bucket-runner,JavaScript
25,cartography,Python
26,cassandra-extra,Java
27,cassandra-medusa,Python
28,cassandra-opstools,Java
29,cassandra-reaper,
30,causify,
31,certcheck,Python
32,chartify,Python
33,code-of-conduct,
34,collectd,C
35,comet,Python
36,comet-common,Python
37,comet-core,Python
38,completable-futures,Java
39,condor,Java
40,confidence,Python
41,confidence-sdk-android,Kotlin
42,confidence-sdk-flutter,Dart
43,confidence-sdk-go,Go
44,confidence-sdk-java,Java
45,confidence-sdk-js,TypeScript
46,confidence-sdk-python,Python
47,confidence-sdk-rust,Rust
48,confidence-sdk-swift,Swift
49,container-agent,Python
50,conversion-api-tag-template,Smarty
51,cookiecutter-golang,Go
52,coordinator,HTML
53,crtauth,Python
54,crtauth-java,Java
55,crtauth-java-agent-signer-apache,Java
56,crunch-lib,Java
57,cstar,Python
58,daemon-java,Java
59,dataenum,Java
